tables,selectivities,error
posts;postHistory;users,0.9957071906222171;1.0;0.9779950155451925,3.5883755560886796
posts;postHistory;users,0.1325345742367574;0.9078225649516635;0.9294011537534655,2.2688649298978496
posts;postHistory;users,0.9889101504740367;0.9858865980401534;0.9930182487376858,2.455313586083952
posts;postHistory;users,0.9666193214970465;1.0;0.9507997520148791,0.5667979473960838
posts;votes;users,0.5088415283667943;1.0;1.0,-3.104950737046157
posts;votes;users,1.0;1.0;0.9613143211407316,-1.7915949817176025
posts;postHistory;votes;comments,1.0;1.0;0.9994635193133047;1.0,-0.04449886199732579
posts;postHistory;votes;comments,1.0;0.9904382443838291;0.798978248146703;0.7647015781191085,0.20227883472615263
posts;users;votes;comments,0.0009002172138566218;0.9914693118412895;1.0;0.9967298700553627,-0.7060960170330294
posts;users;votes;comments,0.4659795487101706;0.966132444809666;0.9987380511119781;1.0,2.384538374717728
posts;users;votes;comments,0.4666543446116378;0.9751022938623682;1.0;0.7738561716531367,5.4598854122388385
posts;users;votes;comments,0.45188535472463187;0.9777153584349726;1.0;1.0,-0.11461205192149233
posts;users;votes;comments,0.9472841223838324;1.0;0.9994635193133047;0.7705885766768784,0.09241830785603196
posts;badges;votes;users,0.21652380253626;0.9967689822294022;1.0;1.0,0.6028892406760809
posts;badges;votes;users,0.4652793845417309;1.0;1.0;0.9890142591444513,1.9884491572640335
postHistory;users;votes;comments,0.9855450003153411;0.9714477889466745;1.0;1.0,4.6975763978403515
postHistory;users;votes;comments,1.0;0.9965554777537898;1.0;0.7717656712242008,1.668152638877808
postHistory;users;votes;comments,0.3033639305115325;0.9107951994348034;1.0;0.9816987464501878,6.403867985367041
users;badges;votes;comments,1.0;0.9709959800127738;0.10266637455666863;0.1417067197943394,-4.024395886684425
users;badges;votes;comments,0.9962306261624303;1.0;1.0;0.14325879985248383,-1.82302440796949
posts;postLinks;postHistory;votes;comments,1.0;0.8835515767858486;1.0;0.9964122854077253;0.7738561716531367,0.23243037808288897
posts;postLinks;postHistory;votes;comments,1.0;0.939721099134113;1.0;1.0;0.7738561716531367,0.1813609309738172
posts;postLinks;postHistory;votes;comments,1.0;0.9047654637963282;0.900394805845897;0.9987380511119781;1.0,-0.28567426526633954
posts;postLinks;postHistory;votes;comments,1.0;0.864849340393549;1.0;0.9972206869986346;1.0,-0.16717538150748631
postHistory;users;badges;comments,1.0;0.9667746755380666;1.0;0.9956111413900921,6.505941941613265
postHistory;users;badges;comments,0.28837819039974927;0.9177223962663543;0.9875267686065297;1.0,5.140752545015645
postHistory;users;badges;comments,1.0;0.9884027798009739;0.9757924133699014;0.9814348412265855,5.617430959362279
postHistory;users;badges;comments,0.9752680815205088;0.9936267823930565;1.0;0.04797337999483664,6.413081393259486
